1	1	3	2	1	8	2	2	2	8	2	8	1	6	2	7	0	1
3	7	5	5	3	12	2	3	2	10	2	9	2	6	3	8	0	2
3	8	5	6	3	9	2	2	3	8	2	8	2	6	3	7	0	3
2	1	4	2	1	8	1	2	2	7	2	8	2	5	2	7	0	4
3	7	5	5	3	10	4	1	2	8	3	9	2	4	2	7	0	5
2	4	4	3	2	10	2	2	2	9	2	9	2	7	3	9	0	6
2	8	4	6	2	12	2	4	3	11	2	10	3	6	3	9	0	7
8	15	7	8	4	8	2	3	2	8	5	12	5	4	5	5	0	8
3	3	5	4	1	7	6	3	0	7	0	8	2	7	1	8	0	9
3	5	5	7	2	7	7	3	1	6	0	8	3	7	1	8	0	10
2	7	4	5	3	13	3	3	2	10	1	8	2	6	2	8	0	11
4	9	6	6	2	10	5	3	1	8	1	9	2	7	2	8	0	12
6	9	8	8	8	8	7	3	5	7	8	8	6	8	4	5	0	13
5	10	7	8	5	8	3	3	1	7	1	8	5	9	5	8	0	14
3	7	5	5	3	11	3	2	2	8	2	9	3	4	2	8	0	15
1	3	2	2	1	10	3	2	1	9	2	9	1	6	1	8	0	16
2	7	4	4	2	7	3	3	2	7	2	8	3	7	2	8	0	17
3	6	5	4	3	12	3	2	2	9	2	9	2	6	2	8	0	18
2	6	4	4	2	12	2	4	3	12	2	10	2	6	3	9	0	19
3	9	5	7	3	12	3	4	3	11	1	9	2	6	3	9	0	20
3	8	5	5	1	6	6	3	1	6	0	8	2	6	1	7	0	21
3	9	6	7	3	11	2	3	3	10	2	9	2	6	3	8	0	22
4	9	6	6	2	7	4	3	2	7	1	8	3	7	3	8	0	23
5	11	7	8	4	8	3	2	3	7	1	8	2	7	3	7	0	24
3	8	5	5	2	7	4	3	1	7	1	8	3	7	2	8	0	25
3	9	6	7	4	11	3	2	2	9	2	9	3	4	3	8	0	26
4	9	6	7	4	10	3	2	2	8	2	10	4	4	3	8	0	27
3	5	5	5	4	9	8	3	4	6	8	7	4	10	4	5	0	28
3	10	6	8	4	12	2	3	3	10	2	9	2	6	4	8	0	29
1	1	3	2	1	6	2	2	1	6	2	7	1	6	2	6	0	30
2	3	3	2	1	8	2	2	1	6	2	8	2	7	2	7	0	31
3	3	5	4	1	9	3	3	2	8	2	9	3	6	2	8	0	32
2	4	4	5	1	8	6	3	1	7	0	8	2	6	1	8	0	33
3	6	5	4	2	9	2	2	2	7	1	8	2	7	3	7	0	34
3	4	5	6	2	8	5	3	1	7	1	8	2	7	2	8	0	35
4	9	6	7	3	11	2	4	3	10	2	9	3	7	3	8	0	36
7	15	5	8	4	10	3	3	2	8	4	11	5	5	4	8	0	37
1	3	2	2	1	9	3	2	1	8	2	9	1	6	1	7	0	38
6	14	6	8	4	12	2	3	2	12	4	11	4	4	4	11	0	39
3	6	5	4	3	11	2	2	2	9	2	9	2	6	3	8	0	40
3	6	5	4	1	7	5	3	1	6	1	8	2	7	2	7	0	41
4	10	7	7	5	7	5	2	3	5	2	6	3	7	4	4	0	42
2	7	4	5	2	12	2	4	3	11	2	9	2	6	3	9	0	43
3	4	6	6	2	9	3	3	3	8	2	9	3	6	3	9	0	44
7	13	7	7	4	12	3	6	2	12	2	10	5	3	4	10	0	45
3	7	5	5	3	11	2	2	2	9	2	9	3	6	3	9	0	46
3	3	5	4	1	8	6	3	1	7	1	8	2	7	1	8	0	47
2	1	3	2	1	8	2	2	1	7	2	8	2	7	2	7	0	48
1	3	2	2	1	10	2	2	1	9	2	9	1	6	2	8	0	49
2	6	4	4	1	8	5	3	1	7	1	8	2	7	2	8	0	50
1	0	2	0	0	8	4	2	0	7	2	8	1	6	1	8	0	51
3	6	5	4	2	11	2	4	2	10	2	10	2	7	3	8	0	52
4	12	7	8	3	7	4	3	2	6	1	8	3	7	3	7	0	53
4	11	6	8	4	8	3	2	3	6	1	8	2	7	3	7	0	54
2	4	4	3	2	9	2	2	1	8	2	9	2	7	2	8	0	55
3	9	5	6	3	9	3	2	3	7	1	8	2	6	2	7	0	56
5	8	8	7	7	8	7	2	5	7	8	8	5	10	3	6	0	57
2	4	3	2	1	8	2	2	2	8	2	8	2	6	2	7	0	58
7	12	6	6	3	9	0	3	2	9	4	12	3	5	4	6	0	59
3	6	4	4	2	8	2	2	2	7	2	8	2	6	3	7	0	60
1	0	2	1	0	8	4	2	0	7	2	8	2	7	1	8	0	61
1	0	2	0	0	7	4	2	0	7	2	8	1	6	1	8	0	62
2	5	4	3	2	10	2	3	2	10	2	9	2	6	2	8	0	63
4	9	5	6	4	7	5	3	0	6	1	8	2	7	1	7	0	64
3	9	5	7	3	13	3	3	2	11	1	8	2	6	3	9	0	65
5	10	8	8	5	11	3	1	2	8	2	9	4	6	3	8	0	66
3	9	5	7	3	9	3	2	2	8	1	8	2	6	3	7	0	67
4	6	6	5	5	8	8	3	5	7	8	7	5	10	4	6	0	68
3	8	5	6	3	7	5	3	0	7	1	8	2	7	1	8	0	69
3	11	6	8	4	12	2	2	2	9	2	9	2	6	3	8	0	70
2	4	3	3	1	10	2	3	2	10	2	9	2	6	2	8	0	71
3	8	5	5	2	7	5	3	1	6	1	8	2	7	2	7	0	72
3	9	6	6	3	11	3	2	2	9	2	9	3	5	3	8	0	73
2	2	4	3	2	8	2	2	2	8	2	8	2	6	3	7	0	74
3	11	5	8	4	12	3	3	3	10	1	9	2	6	3	8	0	75
3	11	6	8	2	8	6	3	1	7	0	8	3	7	2	8	0	76
3	8	6	6	4	8	5	2	4	6	2	6	2	6	2	6	0	77
